title,total price,price per unit,unit,link,availability
"Organic Strawberries, 1 Lb",5.69,5.69,lb,/Fresh-Produce-Brands-Vary-040/dp/B002B8Z98W/ref=sr_1_1_f3_0g_fs?c=ts&dib=eyJ2IjoiMSJ9.AUFcuHXwsvCVC46Dwu8vkQM66_S4Q8gfHbeQHUTvVMaHgtrSE4KsRWUEVDt-hxYfBMwAH_yV7V9mTVdBvwi_CvHAgoEoMrP28q6sB55ycfwflUhmtTGaunPkJvo0T1rpLcO9ueHltQ4I_wfd7YpxGi529dfGTjee4hB2PlNnKV61yut-4XuKCktS7APCGNFFz7d7rHY_BALRvkRjSiNyUNXmn9VG8YlWZ6kknHus0WjWKC9H5wNZnePjO5JLyaWR3ToTmdnZ2SfZZ_U3EYVhHlBlvm2vujE3QLgTAZywZ98.tz2mqnzt2fuszvApLqiv8FqhfUi8N1hiqcaN4UMz3gg&dib_tag=se&keywords=Fresh+Fruits&qid=1732258897&s=grocery&sr=1-1&ts_id=16318981,In Stock
"Strawberries, 1 Lb",3.99,3.99,lb,/Fresh-Produce-Brands-May-Vary/dp/B000P6J0SM/ref=sr_1_2_f3_0g_wf?c=ts&dib=eyJ2IjoiMSJ9.AUFcuHXwsvCVC46Dwu8vkQM66_S4Q8gfHbeQHUTvVMaHgtrSE4KsRWUEVDt-hxYfBMwAH_yV7V9mTVdBvwi_CvHAgoEoMrP28q6sB55ycfwflUhmtTGaunPkJvo0T1rpLcO9ueHltQ4I_wfd7YpxGi529dfGTjee4hB2PlNnKV61yut-4XuKCktS7APCGNFFz7d7rHY_BALRvkRjSiNyUNXmn9VG8YlWZ6kknHus0WjWKC9H5wNZnePjO5JLyaWR3ToTmdnZ2SfZZ_U3EYVhHlBlvm2vujE3QLgTAZywZ98.tz2mqnzt2fuszvApLqiv8FqhfUi8N1hiqcaN4UMz3gg&dib_tag=se&keywords=Fresh+Fruits&qid=1732258897&s=grocery&sr=1-2&ts_id=16318981,In Stock
"Organic Honeycrisp Apple, 1 Each",1.80,3.99,lb,/Organic-Honeycrisp-Apple-One-Medium/dp/B001GIP2A8/ref=sr_1_3_f3_0g_fs?c=ts&dib=eyJ2IjoiMSJ9.AUFcuHXwsvCVC46Dwu8vkQM66_S4Q8gfHbeQHUTvVMaHgtrSE4KsRWUEVDt-hxYfBMwAH_yV7V9mTVdBvwi_CvHAgoEoMrP28q6sB55ycfwflUhmtTGaunPkJvo0T1rpLcO9ueHltQ4I_wfd7YpxGi529dfGTjee4hB2PlNnKV61yut-4XuKCktS7APCGNFFz7d7rHY_BALRvkRjSiNyUNXmn9VG8YlWZ6kknHus0WjWKC9H5wNZnePjO5JLyaWR3ToTmdnZ2SfZZ_U3EYVhHlBlvm2vujE3QLgTAZywZ98.tz2mqnzt2fuszvApLqiv8FqhfUi8N1hiqcaN4UMz3gg&dib_tag=se&keywords=Fresh+Fruits&qid=1732258897&s=grocery&sr=1-3&ts_id=16318981,In Stock
"Blueberries, 1 Pint",2.99,3.99,lb,/Fresh-Produce-Brands-Vary-100174/dp/B003AYKYIG/ref=sr_1_4_f3_0g_fs?c=ts&dib=eyJ2IjoiMSJ9.AUFcuHXwsvCVC46Dwu8vkQM66_S4Q8gfHbeQHUTvVMaHgtrSE4KsRWUEVDt-hxYfBMwAH_yV7V9mTVdBvwi_CvHAgoEoMrP28q6sB55ycfwflUhmtTGaunPkJvo0T1rpLcO9ueHltQ4I_wfd7YpxGi529dfGTjee4hB2PlNnKV61yut-4XuKCktS7APCGNFFz7d7rHY_BALRvkRjSiNyUNXmn9VG8YlWZ6kknHus0WjWKC9H5wNZnePjO5JLyaWR3ToTmdnZ2SfZZ_U3EYVhHlBlvm2vujE3QLgTAZywZ98.tz2mqnzt2fuszvApLqiv8FqhfUi8N1hiqcaN4UMz3gg&dib_tag=se&keywords=Fresh+Fruits&qid=1732258897&s=grocery&sr=1-4&ts_id=16318981,In Stock
Organic Blueberries Pint,6.99,9.32,lb,/produce-aisle-112042-Organic-Blueberries/dp/B077N7TR5G/ref=sr_1_5_f3_0g_wf?c=ts&dib=eyJ2IjoiMSJ9.AUFcuHXwsvCVC46Dwu8vkQM66_S4Q8gfHbeQHUTvVMaHgtrSE4KsRWUEVDt-hxYfBMwAH_yV7V9mTVdBvwi_CvHAgoEoMrP28q6sB55ycfwflUhmtTGaunPkJvo0T1rpLcO9ueHltQ4I_wfd7YpxGi529dfGTjee4hB2PlNnKV61yut-4XuKCktS7APCGNFFz7d7rHY_BALRvkRjSiNyUNXmn9VG8YlWZ6kknHus0WjWKC9H5wNZnePjO5JLyaWR3ToTmdnZ2SfZZ_U3EYVhHlBlvm2vujE3QLgTAZywZ98.tz2mqnzt2fuszvApLqiv8FqhfUi8N1hiqcaN4UMz3gg&dib_tag=se&keywords=Fresh+Fruits&qid=1732258897&s=grocery&sr=1-5&ts_id=16318981,In Stock
Organic Red Seedless Grapes,9.18,3.99,lb,/produce-aisle-mburring-Organic-Seedless/dp/B000RGYJI6/ref=sr_1_6_f3_0g_wf?c=ts&dib=eyJ2IjoiMSJ9.AUFcuHXwsvCVC46Dwu8vkQM66_S4Q8gfHbeQHUTvVMaHgtrSE4KsRWUEVDt-hxYfBMwAH_yV7V9mTVdBvwi_CvHAgoEoMrP28q6sB55ycfwflUhmtTGaunPkJvo0T1rpLcO9ueHltQ4I_wfd7YpxGi529dfGTjee4hB2PlNnKV61yut-4XuKCktS7APCGNFFz7d7rHY_BALRvkRjSiNyUNXmn9VG8YlWZ6kknHus0WjWKC9H5wNZnePjO5JLyaWR3ToTmdnZ2SfZZ_U3EYVhHlBlvm2vujE3QLgTAZywZ98.tz2mqnzt2fuszvApLqiv8FqhfUi8N1hiqcaN4UMz3gg&dib_tag=se&keywords=Fresh+Fruits&qid=1732258897&s=grocery&sr=1-6&ts_id=16318981,In Stock
Banana Bunch,1.18,0.59,lb,/Produce-aisle-Banana-Bunch/dp/B07ZLFPXHC/ref=sr_1_7_f3_0g_fs?c=ts&dib=eyJ2IjoiMSJ9.AUFcuHXwsvCVC46Dwu8vkQM66_S4Q8gfHbeQHUTvVMaHgtrSE4KsRWUEVDt-hxYfBMwAH_yV7V9mTVdBvwi_CvHAgoEoMrP28q6sB55ycfwflUhmtTGaunPkJvo0T1rpLcO9ueHltQ4I_wfd7YpxGi529dfGTjee4hB2PlNnKV61yut-4XuKCktS7APCGNFFz7d7rHY_BALRvkRjSiNyUNXmn9VG8YlWZ6kknHus0WjWKC9H5wNZnePjO5JLyaWR3ToTmdnZ2SfZZ_U3EYVhHlBlvm2vujE3QLgTAZywZ98.tz2mqnzt2fuszvApLqiv8FqhfUi8N1hiqcaN4UMz3gg&dib_tag=se&keywords=Fresh+Fruits&qid=1732258897&s=grocery&sr=1-7&ts_id=16318981,In Stock
Large Organic Hass Avocado,2.99,0.47,Ounce,/produce-aisle-701920-Organic-Avocado/dp/B0014GLSE6/ref=sr_1_8_f3_0g_wf?c=ts&dib=eyJ2IjoiMSJ9.AUFcuHXwsvCVC46Dwu8vkQM66_S4Q8gfHbeQHUTvVMaHgtrSE4KsRWUEVDt-hxYfBMwAH_yV7V9mTVdBvwi_CvHAgoEoMrP28q6sB55ycfwflUhmtTGaunPkJvo0T1rpLcO9ueHltQ4I_wfd7YpxGi529dfGTjee4hB2PlNnKV61yut-4XuKCktS7APCGNFFz7d7rHY_BALRvkRjSiNyUNXmn9VG8YlWZ6kknHus0WjWKC9H5wNZnePjO5JLyaWR3ToTmdnZ2SfZZ_U3EYVhHlBlvm2vujE3QLgTAZywZ98.tz2mqnzt2fuszvApLqiv8FqhfUi8N1hiqcaN4UMz3gg&dib_tag=se&keywords=Fresh+Fruits&qid=1732258897&s=grocery&sr=1-8&ts_id=16318981,In Stock
"Organic Blackberries, 6 oz",4.99,13.31,lb,/produce-aisle-040-01021-Organic-Blackberries/dp/B00E3JM7UU/ref=sr_1_9_f3_0g_wf?c=ts&dib=eyJ2IjoiMSJ9.AUFcuHXwsvCVC46Dwu8vkQM66_S4Q8gfHbeQHUTvVMaHgtrSE4KsRWUEVDt-hxYfBMwAH_yV7V9mTVdBvwi_CvHAgoEoMrP28q6sB55ycfwflUhmtTGaunPkJvo0T1rpLcO9ueHltQ4I_wfd7YpxGi529dfGTjee4hB2PlNnKV61yut-4XuKCktS7APCGNFFz7d7rHY_BALRvkRjSiNyUNXmn9VG8YlWZ6kknHus0WjWKC9H5wNZnePjO5JLyaWR3ToTmdnZ2SfZZ_U3EYVhHlBlvm2vujE3QLgTAZywZ98.tz2mqnzt2fuszvApLqiv8FqhfUi8N1hiqcaN4UMz3gg&dib_tag=se&keywords=Fresh+Fruits&qid=1732258897&s=grocery&sr=1-9&ts_id=16318981,In Stock
"Green Seedless Grapes, 3 Lb",7.99,2.66,lb,/Green-Seedless-Grapes-3-lb/dp/B09MDTP3L8/ref=sr_1_10_f3_0g_fs?c=ts&dib=eyJ2IjoiMSJ9.AUFcuHXwsvCVC46Dwu8vkQM66_S4Q8gfHbeQHUTvVMaHgtrSE4KsRWUEVDt-hxYfBMwAH_yV7V9mTVdBvwi_CvHAgoEoMrP28q6sB55ycfwflUhmtTGaunPkJvo0T1rpLcO9ueHltQ4I_wfd7YpxGi529dfGTjee4hB2PlNnKV61yut-4XuKCktS7APCGNFFz7d7rHY_BALRvkRjSiNyUNXmn9VG8YlWZ6kknHus0WjWKC9H5wNZnePjO5JLyaWR3ToTmdnZ2SfZZ_U3EYVhHlBlvm2vujE3QLgTAZywZ98.tz2mqnzt2fuszvApLqiv8FqhfUi8N1hiqcaN4UMz3gg&dib_tag=se&keywords=Fresh+Fruits&qid=1732258897&s=grocery&sr=1-10&ts_id=16318981,In Stock
